From	To	Species	Gene Name
ARHGAP23	ENSMUST00000107601	Mus musculus	Rho GTPase activating protein 23(Arhgap23)
ARHGAP23	ENSMUST00000152933	Mus musculus	Rho GTPase activating protein 23(Arhgap23)
ARHGAP23	ENSMUST00000121799	Mus musculus	Rho GTPase activating protein 23(Arhgap23)
GM4858	ENSMUST00000195847	Mus musculus	predicted gene 4858(Gm4858)
GM4858	ENSMUST00000179064	Mus musculus	predicted gene 4858(Gm4858)
GM4858	ENSMUST00000194595	Mus musculus	predicted gene 4858(Gm4858)
DLG2	ENSMUST00000208377	Mus musculus	discs, large homolog 2 (Drosophila)(Dlg2)
DLG2	ENSMUST00000098308	Mus musculus	discs, large homolog 2 (Drosophila)(Dlg2)
DLG2	ENSMUST00000207891	Mus musculus	discs, large homolog 2 (Drosophila)(Dlg2)
DLG2	ENSMUST00000152139	Mus musculus	discs, large homolog 2 (Drosophila)(Dlg2)
DLG2	ENSMUST00000146563	Mus musculus	discs, large homolog 2 (Drosophila)(Dlg2)
DLG2	ENSMUST00000128592	Mus musculus	discs, large homolog 2 (Drosophila)(Dlg2)
DLG2	ENSMUST00000207798	Mus musculus	discs, large homolog 2 (Drosophila)(Dlg2)
DLG2	ENSMUST00000107193	Mus musculus	discs, large homolog 2 (Drosophila)(Dlg2)
DLG2	ENSMUST00000107196	Mus musculus	discs, large homolog 2 (Drosophila)(Dlg2)
DLG2	ENSMUST00000135581	Mus musculus	discs, large homolog 2 (Drosophila)(Dlg2)
DLG2	ENSMUST00000074273	Mus musculus	discs, large homolog 2 (Drosophila)(Dlg2)
DLG2	ENSMUST00000138389	Mus musculus	discs, large homolog 2 (Drosophila)(Dlg2)
DLG2	ENSMUST00000129818	Mus musculus	discs, large homolog 2 (Drosophila)(Dlg2)
MRGBP	ENSMUST00000123609	Mus musculus	MRG/MORF4L binding protein(Mrgbp)
MRGBP	ENSMUST00000130277	Mus musculus	MRG/MORF4L binding protein(Mrgbp)
MRGBP	ENSMUST00000149969	Mus musculus	MRG/MORF4L binding protein(Mrgbp)
MRGBP	ENSMUST00000029085	Mus musculus	MRG/MORF4L binding protein(Mrgbp)
MRGBP	ENSMUST00000169630	Mus musculus	MRG/MORF4L binding protein(Mrgbp)
MRGBP	ENSMUST00000150757	Mus musculus	MRG/MORF4L binding protein(Mrgbp)
GDNF	ENSMUST00000022744	Mus musculus	glial cell line derived neurotrophic factor(Gdnf)
TMEM119	ENSMUST00000160374	Mus musculus	transmembrane protein 119(Tmem119)
